Epoch 74, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 75, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 76, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 77, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 78, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 79, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 80, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 81, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 82, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 83, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 84, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 85, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 86, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 87, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 88, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 89, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 90, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 91, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 92, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 93, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 94, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 95, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 96, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 97, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 98, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 99, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 100, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 101, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 102, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 103, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 104, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 105, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 106, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 107, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 108, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 109, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 110, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 111, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 112, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 113, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 114, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 115, Train Acc: 0.9983, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 116, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
Epoch 117, Train Acc: 1.0003, Train Loss: nan, Train Entropy (Temp): 0.0000, Train Entropy (No Temp): 0.0000, Test Acc: 1.0000, Test Loss: nan
